GEO_ID,NAME,S0101_C01_001E,S0101_C01_001M,S0101_C02_001E,S0101_C02_001M,S0101_C03_001E,S0101_C03_001M,S0101_C04_001E,S0101_C04_001M
id,Geographic Area Name,Estimate!!Total!!Total population,Margin of Error!!Total MOE!!Total population,Estimate!!Percent!!Total population,Margin of Error!!Percent MOE!!Total population,Estimate!!Male!!Total population,Margin of Error!!Male MOE!!Total population,Estimate!!Percent Male!!Total population,Margin of Error!!Percent Male MOE!!Total population
1400000US36061016700,"Census Tract 167, New York County, New York",6303,474,(X),(X),2791,314,(X),(X)
1400000US36061016800,"Census Tract 168, New York County, New York",4941,528,(X),(X),2318,353,(X),(X)
1400000US36061016900,"Census Tract 169, New York County, New York",8418,1027,(X),(X),3926,731,(X),(X)
1400000US36061017000,"Census Tract 170, New York County, New York",7677,696,(X),(X),3429,434,(X),(X)
1400000US36061017100,"Census Tract 171, New York County, New York",8974,751,(X),(X),3938,563,(X),(X)
1400000US36061017200,"Census Tract 172, New York County, New York",5783,734,(X),(X),2822,539,(X),(X)
1400000US36061017300,"Census Tract 173, New York County, New York",8974,1073,(X),(X),4086,679,(X),(X)
1400000US36061017401,"Census Tract 174.01, New York County, New York",4566,672,(X),(X),1749,429,(X),(X)
1400000US36061017402,"Census Tract 174.02, New York County, New York",2412,219,(X),(X),1031,168,(X),(X)
1400000US36061017500,"Census Tract 175, New York County, New York",10756,899,(X),(X),4711,565,(X),(X)
1400000US36061017700,"Census Tract 177, New York County, New York",9421,835,(X),(X),4174,525,(X),(X)
1400000US36061017800,"Census Tract 178, New York County, New York",3684,460,(X),(X),1922,454,(X),(X)
1400000US36061017900,"Census Tract 179, New York County, New York",8915,999,(X),(X),4202,582,(X),(X)
1400000US36061018000,"Census Tract 180, New York County, New York",8212,683,(X),(X),4014,481,(X),(X)
1400000US36061018100,"Census Tract 181, New York County, New York",9554,840,(X),(X),4570,715,(X),(X)
1400000US36061018200,"Census Tract 182, New York County, New York",8326,785,(X),(X),3626,579,(X),(X)
1400000US36061018300,"Census Tract 183, New York County, New York",7270,711,(X),(X),3292,482,(X),(X)
1400000US36061018400,"Census Tract 184, New York County, New York",7258,923,(X),(X),3422,596,(X),(X)
1400000US36061018500,"Census Tract 185, New York County, New York",4695,435,(X),(X),2150,353,(X),(X)
1400000US36061018600,"Census Tract 186, New York County, New York",7380,743,(X),(X),3231,357,(X),(X)
1400000US36061018700,"Census Tract 187, New York County, New York",8534,762,(X),(X),3647,454,(X),(X)
1400000US36061018800,"Census Tract 188, New York County, New York",5804,791,(X),(X),2946,383,(X),(X)
1400000US36061018900,"Census Tract 189, New York County, New York",11800,926,(X),(X),4931,710,(X),(X)
1400000US36061019000,"Census Tract 190, New York County, New York",3504,353,(X),(X),1588,249,(X),(X)
1400000US36061019100,"Census Tract 191, New York County, New York",9492,764,(X),(X),4725,486,(X),(X)
1400000US36061019200,"Census Tract 192, New York County, New York",4023,351,(X),(X),1820,334,(X),(X)
1400000US36061019300,"Census Tract 193, New York County, New York",9761,1159,(X),(X),4518,627,(X),(X)
1400000US36061019400,"Census Tract 194, New York County, New York",6517,801,(X),(X),2845,497,(X),(X)
1400000US36061019500,"Census Tract 195, New York County, New York",7133,663,(X),(X),3052,390,(X),(X)
1400000US36061019600,"Census Tract 196, New York County, New York",3895,409,(X),(X),2093,310,(X),(X)
1400000US36061019701,"Census Tract 197.01, New York County, New York",514,87,(X),(X),261,64,(X),(X)
